사업장명,좌표정보(Y),좌표정보(X),위생업태명
텍스처커피,451563.5121,193531.6273,커피숍
유별커피,442701.2313,197090.1113,커피숍
텍사스 아메리카노,453458.0091,195417.9001,커피숍
로켓커피,442503.4209,202710.5374,커피숍
향기나는 굴뚝,440469.922,198939.8149,커피숍
와이쓰리에쓰,453204.4579,193434.0968,커피숍
바니샵,450575.5491,195171.3453,커피숍
아텐데르,451852.9123,193833.8126,커피숍
냥이네,440442.343,199012.1552,커피숍
카페썬(CAFE SUN),447238.0936,191620.5153,커피숍
삼백커피,446625.736,193573.0525,커피숍
여유,450605.2064,196134.2843,커피숍
떡보의하루 서대문점,453798.4873,195255.3021,커피숍
떼르드글라스이대점,450754.8296,194942.6329,커피숍
커피나무,454183.3502,205310.5798,커피숍
롯데리아상봉점,454845.2438,208057.4374,패스트푸드
메가엠지씨커피 교대태성점,443483.6109,201385.0659,커피숍
샌드앤푸드,                    ,                    ,커피숍
커즐,451139.6074,205728.8412,커피숍
커피 볶는집  인 앤 아웃(in & out),452959.2094,191841.1732,커피숍
카페야킨,451768.302,193851.2982,커피숍
미노커피,441974.3771,199895.6731,커피숍
워너커피(WANNA COFFEE),445493.9451,201359.6569,커피숍
드블랙홍콩,444683.2205,200250.4478,커피숍
메가엠지씨커피 등촌아이파크점,449279.0571,187795.6064,커피숍
"마마쿡키친(센치커피(cm, coffee))",441696.5167,190578.3366,커피숍
센트커피,442805.1813,198515.2152,커피숍
카페한스킨,443502.8761,199281.216,커피숍
카페칼디,454837.7961,195394.7332,커피숍
컴포즈커피 반포원베일리점(COMPOSE COFFEE),                    ,                    ,커피숍
세븐일레븐 명지충암점,453605.7272,193227.4342,커피숍
애니브(Anniv),451760.8639,193655.7216,커피숍
웨어하우스,450540.097,195053.6908,커피숍
카프요거트(Calf yogurt),450804.2338,194978.3834,커피숍
카페홀릭,441920.9728,189722.1785,커피숍
룰루,453181.6523,193555.5939,커피숍
온당,453323.6828,192162.0262,커피숍
바이츠커피 서초점,443037.5411,200676.2582,커피숍
룸스룸스,450479.459,194225.2232,커피숍
보리,451618.2289,193280.4915,커피숍
퍼프더매직드래곤(Puff the Magic Dragon),441462.0412,203151.6011,커피숍
다크에디션 로스터리,451858.2629,193565.6196,커피숍
떼르조나 TERZONA,442308.7176,200540.6169,커피숍
(주)커피빈코리아 신촌점,450450.6829,194382.11,커피숍
(주)뽀로로파크 롯데마트맥스 금천점,440940.3844,190704.9043,키즈카페
파운데이 서초점,442821.6601,202282.4389,커피숍
몬스터브레드50플러스센터점,454344.4325,194850.361,커피숍
할리스 가산대륭 22차점,441837.1314,189590.4152,커피숍
스노우빈,443178.1441,199063.0224,커피숍
파케파케,444722.6132,201716.884,커피숍
탐앤탐스 반포스타점,444457.8382,200919.3423,커피숍
메가엠지씨커피 서울교대사거리점,442893.4214,201247.7153,커피숍
ENCOBA(엔코바),441654.0104,189522.3367,커피숍
조샌드위치(Joe's Sandwich),441777.124,203520.4214,커피숍
떼루와 우면2호점,439400.9741,201290.205,커피숍
이씨씨 스무디킹,451143.7893,195287.7664,커피숍
에이지커피(AGECoffee),450641.2788,194907.8574,커피숍
coffee grade,446822.1485,186017.5453,커피숍
보떼가 젤라또,443546.4204,201537.3112,커피숍
해피플레이스,441990.8174,189943.5462,커피숍
토프레소장안평점,451104.4285,205811.5881,커피숍
카페아이엔지 명지전문대점,453579.9558,193310.6708,커피숍
마루내,452261.8947,206562.6492,커피숍
르데스크 서초,442597.2822,199532.6884,커피숍
엔제리너스커피 이대점,450752.6027,195150.8579,커피숍
커피복음,446527.46,188354.2299,커피숍
데이테이블,447255.0705,188584.3454,커피숍
언제나 꽃 강남점,443502.04,202504.2734,커피숍
커피밀,451450.2395,196608.7286,커피숍
이디야 서대문구청점,452883.59,194250.027,커피숍
투썸플레이스 영등포역점,446063.1823,191699.6269,커피숍
메가엠지씨커피 망우사거리점,455204.4663,208616.651,커피숍
빽다방 가산그레이트점,441928.6904,189982.3445,커피숍
커피본,451212.7189,196783.1173,커피숍
카페드라마,450641.2788,194907.8574,커피숍
달리는 커피,441628.6153,191010.5325,커피숍
가람 해물칼국수,441082.4978,204088.2768,커피숍
오도레,442863.4864,201038.268,커피숍
브라운 브릭스,442987.987,202245.3779,커피숍
버거킹 망우점,455158.8336,208463.2481,패스트푸드
엔제리너스커피 연대점,450637.1833,194376.0318,커피숍
슈플레 듀,446925.5269,188753.9163,커피숍
누투,443216.2551,201623.5887,커피숍
르미엘커피,443359.0219,201136.2759,커피숍
Coffee flying(커피플라잉),443312.4916,198955.3159,커피숍
BMM cafe,443921.619,202099.2528,커피숍
마시그래이,450610.9914,194310.8561,커피숍
cafe '끌림',442217.4413,203547.3635,커피숍
카페 센티모르(교대점),443245.2632,201202.8039,커피숍
투썸플레이스 가재울엘가점,451966.0879,192667.2391,커피숍
스타벅스커피 금천독산점,440764.4263,190694.8803,커피숍
원세컨드 양재본점,441678.218,203255.9666,커피숍
버거킹 홍제역점,454188.3436,194920.5324,패스트푸드
매머드익스프레스가산IT프리미어타워점,441302.1119,189778.7745,커피숍
고요한집,439885.9413,190799.833,커피숍
공차 가재울점,452221.9607,192672.0675,커피숍
아웃오브오피스,447041.0227,187846.6989,커피숍
아델로가든,447777.8358,189042.4965,커피숍
리하우스카페,451340.9937,195656.2827,커피숍
커피하우스 여행가방,438176.4797,205037.0552,커피숍
카페 후,442613.3376,200953.2397,커피숍
백산상회,452640.8984,195891.5898,커피숍
산책독서실,438690.814,192368.4376,커피숍
커피링크,453043.0887,191699.0435,커피숍
세븐몽키스,442146.1914,203339.9531,커피숍
뉴핑크 화장품&카페,440731.0414,191304.1288,커피숍
오즈(Oz),444026.8002,199540.0586,커피숍
무인CAFE 소풍가는 날,442198.2391,198363.7055,커피숍
롯데리아 신촌기차역점,450726.6708,194830.5583,패스트푸드
몬칩팩토리,450433.691,194265.0676,커피숍
럭키스터디까페,450447.2977,194482.1549,커피숍
제주스,440136.7812,203204.7556,커피숍
블루뮤지엄,449554.912,188188.5947,커피숍
